scientificName,scientificNameAuthorship,spec.name.ORIG,genus,family,manual_length,manual_width,sd_manual_length,sd_manual_width
Asarum europaeum,L.,Asarum europaeum,Asarum,Aristolochiaceae,3.948,2.144,0.176,0.16
Asperula tinctoria,L.,Asperula tinctoria,Asperula,Rubiaceae,1.37,1.114,0,0.094
Aster amellus,L.,Aster amellus,Aster,Asteraceae,2.712,1.2,0.135,0.121
Erigeron andicola,DC.,Aster bellidiastrum,Erigeron,Asteraceae,2.058,0.822,0.094,0.087
Astragalus alpinus,L.,Astragalus alpinus,Astragalus,Fabaceae,2.48,1.364,0.158,0.147
Astragalus australis,(L.) Lam.,Astragalus australis,Astragalus,Fabaceae,2.442,2.164,0.234,0.094
Astragalus cicer,L.,Astragalus cicer,Astragalus,Fabaceae,2.376,2.038,0.218,0.203
Astragalus danicus,Retz.,Astragalus danicus,Astragalus,Fabaceae,2.04,1.536,0.055,0.119
Astragalus frigidus,(L.) A.Gray,Astragalus frigidus,Astragalus,Fabaceae,2.522,2.038,0.127,0.093
Astragalus glycyphyllos,L.,Astragalus glycyphyllos,Astragalus,Fabaceae,2.838,2.06,0.127,0.055
Astragalus penduliflorus,Lam.,Astragalus penduliflorus,Astragalus,Fabaceae,2.958,2.104,0.551,0.182
Astrantia major,L.,Astrantia major,Astrantia,Apiaceae,8.296,2.818,0.711,0.156
Athamanta cretensis,L.,Athamanta cretensis,Athamanta,Apiaceae,5.864,2.08,0.115,0.186
Atriplex patula,L.,Atriplex patula,Atriplex,Amaranthaceae,5.992,3.588,0.711,0.252
Atriplex prostrata,Boucher ex DC.,Atriplex prostrata,Atriplex,Amaranthaceae,7.714,6.242,0.533,0.33
Atriplex sagittata,Borkh.,Atriplex sagittata,Atriplex,Amaranthaceae,2.312,2.018,0.127,0.087
Atropa bella-donna,L.,Atropa bella-donna,Atropa,Solanaceae,1.914,1.62,0.135,0.158
Baldellia ranunculoides,(L.) Parl.,Baldellia ranunculoides,Baldellia,Alismataceae,1.144,0.538,0.038,0.011
Ballota nigra,L.,Ballota nigra,Ballota,Lamiaceae,2.228,1.536,0.138,0.06
Barbarea vulgaris,R.Br.,Barbarea vulgaris,Barbarea,Brassicaceae,1.324,0.968,0.094,0.087
Bellis perennis,L.,Bellis perennis,Bellis,Asteraceae,1.432,0.78,0.093,0.055
Berberis vulgaris,L.,Berberis vulgaris,Berberis,Berberidaceae,5.292,2.586,0.094,0.06
Berteroa incana,(L.) DC.,Berteroa incana,Berteroa,Brassicaceae,1.638,1.394,0.14,0.158
Beta vulgaris,L.,Beta vulgaris,Beta,Amaranthaceae,5.044,5.042,1.14,0.521
Bidens cernua,L.,Bidens cernua,Bidens,Asteraceae,6.702,1.766,0.541,0.135
Bidens connata,Muhl. ex Willd.,Bidens connata,Bidens,Asteraceae,7.33,1.744,0.238,0.403
Bidens frondosa,L.,Bidens frondosa,Bidens,Asteraceae,11.278,2.756,1.096,0.115
Bidens radiata,Thuill.,Bidens radiata,Bidens,Asteraceae,6.322,1.85,0.815,0.217
Blysmus rufus,(Huds.) Link,Blysmus rufus,Blysmus,Cyperaceae,4.014,2.1,0.467,0
Bolboschoenus maritimus,(L.) Palla,Bolboschoenus maritimus,Bolboschoenus,Cyperaceae,3.808,2.708,0.246,0.283
Borago officinalis,L.,Borago officinalis,Borago,Boraginaceae,5.064,2.816,0.31,0.088
Brachypodium pinnatum,(L.) P.Beauv.,Brachypodium pinnatum,Brachypodium,Poaceae,6.974,1.094,0.436,0.06
Brachypodium sylvaticum,(Huds.) P.Beauv.,Brachypodium sylvaticum,Brachypodium,Poaceae,6.05,1.06,0.104,0.13
Brassica nigra,(L.) K.Koch,Brassica nigra,Brassica,Brassicaceae,1.746,1.516,0.119,0.094
Brassica oleracea,L.,Brassica oleracea,Brassica,Brassicaceae,1.854,1.43,0.192,0.067
Brassica rapa,L.,Brassica rapa,Brassica,Brassicaceae,1.514,1.346,0.06,0.139
Briza media,L.,Briza media,Briza,Poaceae,1.556,0.884,0.088,0.06
Bromus erectus,Huds.,Bromus erectus,Bromus,Poaceae,7.6,1.13,0.46,0.07
Bromus madritensis,L.,Bromus madritensis,Bromus,Poaceae,30.6,1,6.229,0
Bunias erucago,L.,Bunias erucago,Bunias,Brassicaceae,8.716,6.828,0.879,0.371
Bunias orientalis,L.,Bunias orientalis,Bunias,Brassicaceae,6.532,4.728,0.337,0.452
Bunium bulbocastanum,L.,Bunium bulbocastanum,Bunium,Apiaceae,3.678,1.074,0.371,0.088
Buphthalmum salicifolium,L.,Buphthalmum salicifolium,Buphthalmum,Asteraceae,2.838,0.84,0.285,0.148
Bupleurum falcatum,L.,Bupleurum falcatum,Bupleurum,Apiaceae,2.782,1.182,0.162,0.158
Bupleurum longifolium,L.,Bupleurum longifolium,Bupleurum,Apiaceae,4.98,1.326,0.261,0.06
Bupleurum ranunculoides,L.,Bupleurum ranunculoides,Bupleurum,Apiaceae,5.168,1.808,0.135,0.087
Bupleurum rotundifolium,L.,Bupleurum rotundifolium,Bupleurum,Apiaceae,2.816,1.348,0.088,0.049
Bupleurum stellatum,L.,Bupleurum stellatum,Bupleurum,Apiaceae,3.112,1.302,0.23,0.094
Bupleurum tenuissimum,L.,Bupleurum tenuissimum,Bupleurum,Apiaceae,3.552,1.536,0.175,0.06
Butomus umbellatus,L.,Butomus umbellatus,Butomus,Butomaceae,1.542,0.514,0.078,0.039
Buxus sempervirens,L.,Buxus sempervirens,Buxus,Buxaceae,5.526,2.986,0.461,0.328
Calamagrostis canescens,(Weber) Roth,Calamagrostis canescens,Calamagrostis,Poaceae,3.782,3.046,0.439,0.233
Calamagrostis stricta,(Timm) Koeler,Calamagrostis stricta,Calamagrostis,Poaceae,2.744,1.75,0.295,0.354
Calamagrostis villosa,(Chaix) J.F.Gmel.,Calamagrostis villosa,Calamagrostis,Poaceae,2.566,1.45,0.094,0.116
Clinopodium acinos,(L.) Kuntze,Calamintha acinos,Clinopodium,Lamiaceae,1.432,0.74,0.093,0
Clinopodium alpinum,(L.) Kuntze,Calamintha alpina,Clinopodium,Lamiaceae,1.68,0.78,0.11,0.055
Clinopodium vulgare,L.,Calamintha clinopodium,Clinopodium,Lamiaceae,1.126,0.828,0.027,0.094
Clinopodium menthifolium,(Host) Stace,Calamintha menthifolia,Clinopodium,Lamiaceae,1.976,0.99,0.088,0.121
Caldesia parnassifolia,(L.) Parl.,Caldesia parnassifolia,Caldesia,Alismataceae,3.63,2.01,0.189,0.248
Calendula officinalis,L.,Calendula officinalis,Calendula,Asteraceae,5.986,4.644,0.363,0.33
Calla palustris,L.,Calla palustris,Calla,Araceae,3.594,1.892,0.204,0.074
Callitriche stagnalis,Scop.,Callitriche stagnalis,Callitriche,Plantaginaceae,0.95,0.42,0,0
Calluna vulgaris,(L.) Hull,Calluna vulgaris,Calluna,Ericaceae,0.654,0.406,0.056,0.036
Caltha palustris,L.,Caltha palustris,Caltha,Ranunculaceae,2.408,0.98,0.153,0.084
Camelina microcarpa,Andrz. ex DC.,Camelina microcarpa,Camelina,Brassicaceae,1.172,0.828,0.05,0.03
Campanula barbata,L.,Campanula barbata,Campanula,Campanulaceae,0.95,0.542,0,0.049
Campanula bononiensis,L.,Campanula bononiensis,Campanula,Campanulaceae,1.41,0.84,0.055,0
Campanula glomerata,L.,Campanula glomerata,Campanula,Campanulaceae,1.05,0.74,0,0
Campanula patula,L.,Campanula patula,Campanula,Campanulaceae,0.78,0.464,0.055,0.06
Campanula persicifolia,L.,Campanula persicifolia,Campanula,Campanulaceae,0.78,0.53,0.055,0
Campanula rapunculoides,L.,Campanula rapunculoides,Campanula,Campanulaceae,1.724,0.842,0.06,0.074
Campanula rapunculus,L.,Campanula rapunculus,Campanula,Campanulaceae,1.744,0.95,0.094,0
Campanula rhomboidalis,L.,Campanula rhomboidalis,Campanula,Campanulaceae,1.01,0.42,0.055,0
Campanula rotundifolia,L.,Campanula rotundifolia,Campanula,Campanulaceae,0.99,0.42,0.055,0
Campanula scheuchzeri,Vill.,Campanula scheuchzeri,Campanula,Campanulaceae,0.99,0.42,0.055,0
Campanula thyrsoides,L.,Campanula thyrsoides,Campanula,Campanulaceae,1.138,0.608,0.049,0.049
Campanula trachelium,L.,Campanula trachelium,Campanula,Campanulaceae,1.514,0.928,0.119,0.049
Cannabis sativa,L.,Cannabis sativa,Cannabis,Cannabaceae,4.614,3.234,0.419,0.378
Capsella bursa-pastoris,(L.) Medik.,Capsella bursa-pastoris,Capsella,Brassicaceae,1.032,0.57,0.087,0.055
Caragana arborescens,Lam.,Caragana arborescens,Caragana,Fabaceae,4.686,3.72,0.558,0.219
Cardamine flexuosa,With.,Cardamine flexuosa,Cardamine,Brassicaceae,1.176,0.712,0.082,0.067
Cardamine hirsuta,L.,Cardamine hirsuta,Cardamine,Brassicaceae,1.01,0.718,0.121,0.049
Cardamine impatiens,L.,Cardamine impatiens,Cardamine,Brassicaceae,1.472,0.716,0.166,0.082
Cardamine resedifolia,L.,Cardamine resedifolia,Cardamine,Brassicaceae,1.304,0.862,0.06,0.049
Arabidopsis arenosa,(L.) Lawalrée,Cardaminopsis arenosa,Arabidopsis,Brassicaceae,1.47,0.74,0,0
Arabidopsis halleri,(L.) O'Kane & Al-Shehbaz,Cardaminopsis halleri,Arabidopsis,Brassicaceae,1.304,0.674,0.06,0.06
Carduus crispus,Guirão ex Nyman,Carduus crispus,Carduus,Asteraceae,2.86,0.886,0.238,0.139
Carduus defloratus,L.,Carduus defloratus,Carduus,Asteraceae,4.264,2.116,0.294,0.951
Carduus personata,(L.) Jacq.,Carduus personata,Carduus,Asteraceae,3.93,1.684,0.121,0.15
Carex acuta,L.,Carex acuta,Carex,Cyperaceae,2.76,1.47,0.299,0.168
Carex acutiformis,Ehrh.,Carex acutiformis,Carex,Cyperaceae,4.2,1.66,0.2,0.253
Carex appropinquata,Schumach.,Carex appropinquata,Carex,Cyperaceae,2.836,1.524,0.291,0.114
Carex aquatilis,Wahlenb.,Carex aquatilis,Carex,Cyperaceae,3.34,1.58,0.217,0
Carex arenaria,L.,Carex arenaria,Carex,Cyperaceae,4.896,2.27,0.239,0.286
Carex atrata subsp. aterrima,(Hoppe) Hartm.,Carex aterrima,Carex,Cyperaceae,3.24,1.56,0.16,0.09
Carex atrata,L.,Carex atrata,Carex,Cyperaceae,1.54,1.01,0.06,0.05
Carex bigelowii,Torr. ex Schwein.,Carex bigelowii,Carex,Cyperaceae,2.164,1.62,0.094,0.055
Carex bohemica,Schreb.,Carex bohemica,Carex,Cyperaceae,7.898,1.116,0.573,0.411
Carex brunnescens,(Pers.) Poir.,Carex brunnescens,Carex,Cyperaceae,2.228,1.116,0.087,0.06
Carex buekii,Wimm.,Carex buekii,Carex,Cyperaceae,7.834,2.142,0.479,0.094
Carex canescens,L.,Carex canescens,Carex,Cyperaceae,2.352,0.99,0.241,0.063
Carex caryophyllea,Latourr.,Carex caryophyllea,Carex,Cyperaceae,2.27,1.36,0.168,0.368
Carex curvula,All.,Carex curvula,Carex,Cyperaceae,3.89,1.2,0.13,0.12
Carex davalliana,Sm.,Carex davalliana,Carex,Cyperaceae,4.25,1.17,0.17,0.135
Carex viridula subsp. oedocarpa,(Andersson) B.Schmid,Carex demissa,Carex,Cyperaceae,3.75,1.53,0.221,0.045
Carex depauperata,Curtis ex Stokes,Carex depauperata,Carex,Cyperaceae,7.438,2.774,0.396,0.119
Carex diandra,Schrank,Carex diandra,Carex,Cyperaceae,2.83,1.358,0.159,0.086
Carex digitata,L.,Carex digitata,Carex,Cyperaceae,4.21,1.36,0.096,0.119
Carex dioica,L.,Carex dioica,Carex,Cyperaceae,5.88,1.74,0.44,0.09
Carex distans,L.,Carex distans,Carex,Cyperaceae,4.234,1.644,0.339,0.088
Carex disticha,Huds.,Carex disticha,Carex,Cyperaceae,3.91,1.66,0.164,0.185
Carex divulsa,Stokes,Carex divulsa,Carex,Cyperaceae,4.414,2.084,0.182,0.115
