scientificName,scientificNameAuthorship,spec.name.ORIG,genus,family,manual_length,manual_width,sd_manual_length,sd_manual_width
Galanthus nivalis,L.,Galanthus nivalis,Galanthus,Amaryllidaceae,3.572,2.86,0.342,0.155
Galega officinalis,L.,Galega officinalis,Galega,Fabaceae,3.91,1.86,0.313,0.119
Galeopsis bifida,Boenn.,Galeopsis bifida,Galeopsis,Lamiaceae,2.964,2.166,0.135,0.303
Galeopsis ladanum,L.,Galeopsis ladanum,Galeopsis,Lamiaceae,2.462,1.474,0.094,0.15
Galeopsis pubescens,Besser,Galeopsis pubescens,Galeopsis,Lamiaceae,2.858,2.25,0.172,0.242
Galeopsis segetum,Neck.,Galeopsis segetum,Galeopsis,Lamiaceae,3.046,1.85,0.298,0.121
Galeopsis tetrahit,L.,Galeopsis tetrahit,Galeopsis,Lamiaceae,2.942,2.462,0.288,0.345
Galinsoga parviflora,Cav.,Galinsoga parviflora,Galinsoga,Asteraceae,1.914,0.654,0.25,0.088
Galium anisophyllon,Vill.,Galium anisophyllon,Galium,Rubiaceae,1.286,1.074,0.115,0.088
Galium aparine,L.,Galium aparine,Galium,Rubiaceae,3.846,3.234,0.239,0.115
Galium boreale,L.,Galium boreale,Galium,Rubiaceae,1.368,0.948,0.127,0.074
Galium glaucum,L.,Galium glaucum,Galium,Rubiaceae,1.702,1.41,0.281,0.162
Galium megalospermum,All.,Galium megalospermum,Galium,Rubiaceae,1.344,0.8,0.115,0.055
Galium mollugo,L.,Galium mollugo,Galium,Rubiaceae,1.326,0.988,0.06,0.093
Galium odoratum,(L.) Scop.,Galium odoratum,Galium,Rubiaceae,3.68,3.68,0,0
Galium palustre,L.,Galium palustre,Galium,Rubiaceae,2.044,1.868,0.135,0.08
Galium pumilum,Murray,Galium pumilum,Galium,Rubiaceae,1.272,0.998,0.066,0.027
Galium rotundifolium,L.,Galium rotundifolium,Galium,Rubiaceae,2.312,1.788,0.326,0.285
Galium saxatile,L.,Galium saxatile,Galium,Rubiaceae,1.724,1.22,0.06,0.121
Galium sylvaticum,L.,Galium sylvaticum,Galium,Rubiaceae,1.262,1.114,0.127,0.139
Galium verum,L.,Galium verum,Galium,Rubiaceae,1.2,1.22,0.055,0.055
Genista sagittalis,L.,Genista sagittalis,Genista,Fabaceae,2.286,1.67,0.105,0.1
Genista tinctoria,L.,Genista tinctoria,Genista,Fabaceae,2.48,2.124,0.121,0.23
Gentiana acaulis,L.,Gentiana acaulis,Gentiana,Gentianaceae,1.516,0.928,0.094,0.049
Gentianella amarella subsp. uliginosa,(Willd.) Tzvelev,Gentiana amarella subsp. uliginosa,Gentianella,Gentianaceae,0.63,0.52,0,0
Gentiana asclepiadea,L.,Gentiana asclepiadea,Gentiana,Gentianaceae,1.764,1.436,0.161,0.138
Gentianella aspera,"(Hegetschw. & Heer) Dostál ex Skalický, Chrtek & Gill",Gentiana aspera,Gentianella,Gentianaceae,0.634,0.574,0.036,0.047
Gentiana bavarica,L.,Gentiana bavarica,Gentiana,Gentianaceae,0.884,0.42,0.06,0
Gentiana brachyphylla,Vill.,Gentiana brachyphylla,Gentiana,Gentianaceae,0.968,0.55,0.087,0.045
Gentianella campestris subsp. baltica,(Murb.) Tutin ex N.M.Pritch.,Gentiana campestris subsp. baltica,Gentianella,Gentianaceae,0.84,0.63,0,0
Gentiana cruciata,L.,Gentiana cruciata,Gentiana,Gentianaceae,1.208,0.488,0.104,0.027
Gentianella germanica,(Willd.) Börner,Gentiana germanica,Gentianella,Gentianaceae,0.76,0.63,0.045,0
Gentiana lutea,L.,Gentiana lutea,Gentiana,Gentianaceae,3.532,2.522,0.093,0.074
Gentiana nivalis,L.,Gentiana nivalis,Gentiana,Gentianaceae,0.742,0.418,0.025,0.016
Gentiana pannonica,Scop.,Gentiana pannonica,Gentiana,Gentianaceae,2.586,2.248,0.16,0.142
Gentiana pneumonanthe,L.,Gentiana pneumonanthe,Gentiana,Gentianaceae,1.45,0.442,0.155,0.049
Gentiana punctata,L.,Gentiana punctata,Gentiana,Gentianaceae,2.67,2.146,0.055,0.274
Gentiana purpurea,L.,Gentiana purpurea,Gentiana,Gentianaceae,2.922,2.248,0.225,0.232
Gentiana utriculosa,L.,Gentiana utriculosa,Gentiana,Gentianaceae,0.84,0.42,0,0
Gentiana verna,L.,Gentiana verna,Gentiana,Gentianaceae,0.888,0.494,0.034,0.033
Geranium dissectum,L.,Geranium dissectum,Geranium,Geraniaceae,2.27,1.682,0.055,0.074
Geranium macrorrhizum,L.,Geranium macrorrhizum,Geranium,Geraniaceae,3.046,1.598,0.147,0.138
Geranium molle,L.,Geranium molle,Geranium,Geraniaceae,1.772,1.002,0.074,0.018
Geranium phaeum,L.,Geranium phaeum,Geranium,Geraniaceae,5.292,1.83,0.176,0.158
Geranium pratense,L.,Geranium pratense,Geranium,Geraniaceae,3.172,1.726,0.213,0.252
Geranium pusillum,L.,Geranium pusillum,Geranium,Geraniaceae,2.896,1.314,0.269,0.083
Geranium pyrenaicum,Burm.f.,Geranium pyrenaicum,Geranium,Geraniaceae,3.048,1.346,0.074,0.088
Geranium robertianum,L.,Geranium robertianum,Geranium,Geraniaceae,2.9,1.304,0.261,0.06
Geranium rotundifolium,L.,Geranium rotundifolium,Geranium,Geraniaceae,1.83,1.43,0.055,0.055
Geranium sanguineum,L.,Geranium sanguineum,Geranium,Geraniaceae,3.742,2.08,0.203,0.045
Geranium sylvaticum,L.,Geranium sylvaticum,Geranium,Geraniaceae,2.668,1.786,0.152,0.244
Gladiolus palustris,Gaudin,Gladiolus palustris,Gladiolus,Iridaceae,1.788,1.262,0.074,0.074
Glechoma hederacea,L.,Glechoma hederacea,Glechoma,Lamiaceae,1.556,1.03,0.135,0.045
Globularia nudicaulis,L.,Globularia nudicaulis,Globularia,Plantaginaceae,1.934,0.844,0.157,0.105
Globularia punctata,Lapeyr.,Globularia punctata,Globularia,Plantaginaceae,1.56,0.67,0.05,0.06
Glyceria declinata,Bréb.,Glyceria declinata,Glyceria,Poaceae,2.06,1.198,0.158,0.093
Glyceria notata,Chevall.,Glyceria notata,Glyceria,Poaceae,2.1,1.2,0,0.055
Gnaphalium hoppeanum,W.D.J.Koch,Gnaphalium hoppeanum,Gnaphalium,Asteraceae,1.432,0.464,0.093,0.06
Laphangium luteoalbum,(L.) Tzvelev,Gnaphalium luteoalbum,Laphangium,Asteraceae,0.674,0.21,0.06,0
Gnaphalium supinum,L.,Gnaphalium supinum,Gnaphalium,Asteraceae,1.18,0.402,0.045,0.087
Gnaphalium uliginosum,L.,Gnaphalium uliginosum,Gnaphalium,Asteraceae,0.528,0.21,0.074,0
Gypsophila muralis,L.,Gypsophila muralis,Gypsophila,Caryophyllaceae,0.45,0.382,0.05,0.054
Gypsophila scorzonerifolia,Ser.,Gypsophila scorzonerifolia,Gypsophila,Caryophyllaceae,1.304,1.074,0.06,0.088
Hedera helix,L.,Hedera helix,Hedera,Araliaceae,6.156,3.846,0.157,0.239
Hedysarum hedysaroides,(L.) Schinz & Thell.,Hedysarum hedysaroides,Hedysarum,Fabaceae,3.384,2.606,0.272,0.274
Helianthemum oelandicum subsp. alpestris,(Jacq.) Breistr.,Helianthemum alpestre,Helianthemum,Cistaceae,1.62,0.99,0.121,0.055
Helianthemum oelandicum subsp. incanum,(Willk.) G.López,Helianthemum canum,Helianthemum,Cistaceae,1.494,0.948,0.088,0.074
Helianthemum nummularium,(L.) Mill.,Helianthemum nummularium,Helianthemum,Cistaceae,1.596,1.296,0.138,0.064
Silene pusilla,Waldst. & Kit.,Heliosperma pusilla,Silene,Caryophyllaceae,1.598,1.2,0.087,0.121
Helleborus foetidus,L.,Helleborus foetidus,Helleborus,Ranunculaceae,4.69,2.38,0.192,0.217
Hepatica nobilis,Mill.,Hepatica nobilis,Hepatica,Ranunculaceae,4.916,1.638,0.257,0.212
Heracleum sphondylium,L.,Heracleum sphondylium,Heracleum,Apiaceae,9.67,6.302,0.769,0.475
Hesperis matronalis,L.,Hesperis matronalis,Hesperis,Brassicaceae,2.334,1.348,0.292,0.156
Pilosella glacialis,(Reyn. ex Reyn.) F.W.Schultz & Sch.Bip.,Hieracium angustifolium,Pilosella,Asteraceae,1.976,0.53,0.088,0
Pilosella aurantiaca,(L.) F.W.Schultz & Sch.Bip.,Hieracium aurantiacum,Pilosella,Asteraceae,1.726,0.486,0.143,0.06
Hieracium bifidum,Ser. ex Froel.,Hieracium bifidum,Hieracium,Asteraceae,3.194,0.57,0.285,0.055
Hieracium hoppeanum,Wallr. ex Nyman,Hieracium hoppeanum,Hieracium,Asteraceae,2.396,0.442,0.135,0.049
Hieracium intybaceum,Jacq.,Hieracium intybaceum,Hieracium,Asteraceae,3.468,0.906,0.225,0.06
Pilosella lactucella,(Wallr.) P.D.Sell & C.West,Hieracium lactucella,Pilosella,Asteraceae,1.83,0.42,0.055,0
Hieracium laevigatum,Froel.,Hieracium laevigatum,Hieracium,Asteraceae,3.298,0.592,0.142,0.093
Hieracium maculatum,Schrank,Hieracium maculatum,Hieracium,Asteraceae,2.836,0.654,0.209,0.088
Pilosella peleteriana,(Mérat) F.W.Schultz & Sch.Bip.,Hieracium peleterianum,Pilosella,Asteraceae,2.142,0.442,0.094,0.049
Hieracium scorzonerifolium,Vill.,Hieracium scorzonerifolium,Hieracium,Asteraceae,3.784,0.738,0.147,0.074
Hieracium umbellatum,L.,Hieracium umbellatum,Hieracium,Asteraceae,3.362,0.55,0.308,0.045
Hippocrepis comosa,L.,Hippocrepis comosa,Hippocrepis,Fabaceae,3.1,1.11,0.106,0.129
Elaeagnus rhamnoides,(L.) A.Nelson,Hippophae rhamnoides,Elaeagnus,Elaeagnaceae,3.614,2.144,0.16,0.241
Hippuris vulgaris,L.,Hippuris vulgaris,Hippuris,Plantaginaceae,1.976,1.18,0.088,0.045
Holcus lanatus,L.,Holcus lanatus,Holcus,Poaceae,2.44,0.78,0.251,0.135
Homogyne alpina,(L.) Cass.,Homogyne alpina,Homogyne,Asteraceae,5.464,0.674,0.348,0.06
Honckenya peploides,(L.) Ehrh.,Honckenya peploides,Honckenya,Caryophyllaceae,3.44,2.744,0.094,0.092
Horminum pyrenaicum,L.,Horminum pyrenaicum,Horminum,Lamiaceae,1.594,1.21,0.135,0.113
Hydrocotyle vulgaris,L.,Hydrocotyle vulgaris,Hydrocotyle,Araliaceae,2.438,1.976,0.087,0.135
Hyoscyamus niger,L.,Hyoscyamus niger,Hyoscyamus,Solanaceae,1.494,1.18,0.088,0.045
Hypericum elegans,Stephan ex Willd.,Hypericum elegans,Hypericum,Hypericaceae,1.05,0.53,0,0
Hypericum elodes,L.,Hypericum elodes,Hypericum,Hypericaceae,0.76,0.42,0.045,0
Hypericum humifusum,L.,Hypericum humifusum,Hypericum,Hypericaceae,0.63,0.32,0,0
Hypericum maculatum,Crantz,Hypericum maculatum,Hypericum,Hypericaceae,0.68,0.322,0.042,0.027
Hypericum perforatum,L.,Hypericum perforatum,Hypericum,Hypericaceae,0.96,0.438,0.042,0.025
Hypericum tetrapterum,Fr.,Hypericum tetrapterum,Hypericum,Hypericaceae,0.77,0.328,0.06,0.016
Hypochaeris glabra,L.,Hypochaeris glabra,Hypochaeris,Asteraceae,7.31,0.442,0.383,0.049
Hypochaeris maculata,L.,Hypochaeris maculata,Hypochaeris,Asteraceae,2.354,1.03,0.266,0.045
Hypochaeris radicata,L.,Hypochaeris radicata,Hypochaeris,Asteraceae,3.752,0.66,0.382,0
Hypochaeris uniflora,Vill.,Hypochaeris uniflora,Hypochaeris,Asteraceae,17.098,1.028,0.742,0.181
Hyssopus officinalis,L.,Hyssopus officinalis,Hyssopus,Lamiaceae,2.522,1.22,0.268,0.055
Iberis amara,L.,Iberis amara,Iberis,Brassicaceae,3.066,1.826,0.105,0.083
Illecebrum verticillatum,L.,Illecebrum verticillatum,Illecebrum,Caryophyllaceae,1.8,1.092,0.082,0.176
Impatiens capensis,Meerb.,Impatiens capensis,Impatiens,Balsaminaceae,3.396,1.606,0.295,0.266
Impatiens glandulifera,Royle,Impatiens glandulifera,Impatiens,Balsaminaceae,3.64,3.27,0.27,0.144
Impatiens noli-tangere,L.,Impatiens noli-tangere,Impatiens,Balsaminaceae,3.574,1.826,0.231,0.078
Inula helenium,L.,Inula helenium,Inula,Asteraceae,3.11,0.926,0.371,0.088
Inula hirta,L.,Inula hirta,Inula,Asteraceae,1.596,0.49,0.395,0.082
Iris sibirica,L.,Iris sibirica,Iris,Iridaceae,3.658,2.442,0.481,0.321
Isolepis setacea,(L.) R.Br.,Isolepis setacea,Isolepis,Cyperaceae,0.888,0.702,0.095,0.044
Jasione laevis,Lam.,Jasione laevis,Jasione,Campanulaceae,1.16,0.53,0,0
Jasione montana,L.,Jasione montana,Jasione,Campanulaceae,0.61,0.32,0.045,0
Juncus acutiflorus,Ehrh. ex Hoffm.,Juncus acutiflorus,Juncus,Juncaceae,0.464,0.32,0.06,0
Juncus alpinoarticulatus,Chaix,Juncus alpinus,Juncus,Juncaceae,0.724,0.21,0.029,0.012
Juncus articulatus,L.,Juncus articulatus,Juncus,Juncaceae,0.496,0.216,0.046,0.03
Juncus balticus,Willd.,Juncus balticus,Juncus,Juncaceae,0.518,0.21,0.048,0.027
Juncus bufonius,L.,Juncus bufonius,Juncus,Juncaceae,0.438,0.264,0.029,0.033
Juncus bulbosus,L.,Juncus bulbosus,Juncus,Juncaceae,0.468,0.212,0.036,0.02
Juncus compressus,Jacq.,Juncus compressus,Juncus,Juncaceae,0.47,0.3,0.04,0.01
Juncus conglomeratus,L.,Juncus conglomeratus,Juncus,Juncaceae,0.414,0.202,0.072,0.027
Juncus effusus,L.,Juncus effusus,Juncus,Juncaceae,0.518,0.21,0.048,0.027
Juncus filiformis,L.,Juncus filiformis,Juncus,Juncaceae,0.534,0.326,0.078,0.018
Juncus gerardii,Loisel.,Juncus gerardii,Juncus,Juncaceae,0.678,0.348,0.053,0.036
Juncus inflexus,L.,Juncus inflexus,Juncus,Juncaceae,0.538,0.288,0.066,0.028
Juncus maritimus,Lam.,Juncus maritimus,Juncus,Juncaceae,0.82,0.42,0.045,0
Juncus pygmaeus,Rich. ex Thuill.,Juncus pygmaeus,Juncus,Juncaceae,0.53,0.32,0,0
Juncus sphaerocarpus,Nees,Juncus sphaerocarpus,Juncus,Juncaceae,0.396,0.348,0.044,0.036
Juncus squarrosus,L.,Juncus squarrosus,Juncus,Juncaceae,0.752,0.46,0.045,0.051
Juncus subnodulosus,Schrank,Juncus subnodulosus,Juncus,Juncaceae,0.472,0.256,0.029,0.009
Juncus trifidus,L.,Juncus trifidus,Juncus,Juncaceae,1.142,0.55,0.213,0.045
Kernera saxatilis,(L.) Sweet,Kernera saxatilis,Kernera,Brassicaceae,1.05,0.63,0,0
Kickxia elatine,(L.) Dumort.,Kickxia elatine,Kickxia,Plantaginaceae,1.262,0.95,0.074,0
Kickxia spuria,(L.) Dumort.,Kickxia spuria,Kickxia,Plantaginaceae,1.282,0.906,0.049,0.06
Knautia arvensis,(L.) Coult.,Knautia arvensis,Knautia,Caprifoliaceae,4.938,2.668,0.195,0.479
Knautia dipsacifolia,Kreutzer,Knautia dipsacifolia,Knautia,Caprifoliaceae,5.272,2.564,0.303,0.06
Koeleria macrantha,(Ledeb.) Schult.,Koeleria macrantha,Koeleria,Poaceae,3.216,0.674,0.16,0.06
Lactuca perennis,L.,Lactuca perennis,Lactuca,Asteraceae,6.322,1.348,0.349,0.114
Lamium album,L.,Lamium album,Lamium,Lamiaceae,2.732,1.432,0.44,0.093
Lamium amplexicaule,L.,Lamium amplexicaule,Lamium,Lamiaceae,2.164,0.99,0.206,0.055
Lamium purpureum,L.,Lamium purpureum,Lamium,Lamiaceae,2.396,1.114,0.139,0.094
Lapsana communis,L.,Lapsana communis,Lapsana,Asteraceae,4.37,0.968,0.219,0.087
Larix decidua,Mill.,Larix decidua,Larix,Pinaceae,4.79,2.796,0.263,0.519
Laserpitium prutenicum,L.,Laserpitium prutenicum,Laserpitium,Apiaceae,5.462,3.488,0.29,0.361
Lathyrus hirsutus,L.,Lathyrus hirsutus,Lathyrus,Fabaceae,4.73,4.326,0,0.115
Lathyrus laevigatus subsp. occidentalis,(Fisch. & C.A.Mey.) Breistr.,Lathyrus laevigatus subsp. occidentalis,Lathyrus,Fabaceae,4.518,4.098,0.225,0.22
Lathyrus linifolius,(Reichard) Bassler,Lathyrus linifolius,Lathyrus,Fabaceae,2.95,2.63,0.117,0.104
Lathyrus japonicus subsp. maritimus,(L.) P.W.Ball,Lathyrus maritimus,Lathyrus,Fabaceae,3.824,3.488,0.264,0.175
Lathyrus nissolia,L.,Lathyrus nissolia,Lathyrus,Fabaceae,3.256,2.67,0.15,0.121
Lathyrus palustris,L.,Lathyrus palustris,Lathyrus,Fabaceae,3.256,3.194,0.15,0.16
Lathyrus sylvestris,L.,Lathyrus sylvestris,Lathyrus,Fabaceae,4.29,3.582,0.449,0.257
Lathyrus tuberosus,L.,Lathyrus tuberosus,Lathyrus,Fabaceae,3.088,2.984,0.093,0.157
Lathyrus vernus,(L.) Bernh.,Lathyrus vernus,Lathyrus,Fabaceae,3.01,2.64,0.241,0.129
Lavandula angustifolia,Mill.,Lavandula angustifolia,Lavandula,Lamiaceae,2.164,1.24,0.094,0.045
Ledum palustre,L.,Ledum palustre,Ledum,Ericaceae,1.934,0.298,0.16,0.049
Legousia hybrida,(L.) Delarbre,Legousia hybrida,Legousia,Campanulaceae,1.262,0.74,0.074,0
Legousia speculum-veneris,(L.) Durande ex Vill.,Legousia speculum-veneris,Legousia,Campanulaceae,1.262,0.78,0.074,0.055
Scorzoneroides autumnalis,(L.) Moench,Leontodon autumnalis,Scorzoneroides,Asteraceae,2.398,0.422,0.368,0.074
Scorzoneroides helvetica,(Mérat) Holub,Leontodon helveticus,Scorzoneroides,Asteraceae,5.294,0.738,1.29,0.074
Leontodon hispidus subsp. pseudocrispus,(Bisch.) Greuter,Leontodon hispidus subsp. pseudocrispus,Leontodon,Asteraceae,6.848,0.924,0.532,0.115
Leontopodium nivale subsp. alpinum,(Cass.) Greuter,Leontopodium alpinum,Leontopodium,Asteraceae,0.74,0.34,0,0.045
Leonurus cardiaca,L.,Leonurus cardiaca,Leonurus,Lamiaceae,2.354,1.158,0.119,0.074
Lepidium campestre,(L.) R.Br.,Lepidium campestre,Lepidium,Brassicaceae,2.294,1.39,0.153,0.076
Lepidium latifolium,L.,Lepidium latifolium,Lepidium,Brassicaceae,2.774,1.83,0.119,0.158
Lepidium ruderale,L.,Lepidium ruderale,Lepidium,Brassicaceae,1.282,0.696,0.049,0.06
Lepidium sativum,L.,Lepidium sativum,Lepidium,Brassicaceae,3.026,1.348,0.173,0.049
Lepidium virginicum,L.,Lepidium virginicum,Lepidium,Brassicaceae,1.746,1.074,0.16,0.088
Leucojum aestivum,L.,Leucojum aestivum,Leucojum,Amaryllidaceae,4.372,4.098,0.329,0.247
Ligusticum mutellina,(L.) Crantz,Ligusticum mutellina,Ligusticum,Apiaceae,4.056,1.62,0.367,0.162
Ligusticum mutellinoides,Vill.,Ligusticum mutellinoides,Ligusticum,Apiaceae,4.54,1.874,0.116,0.188
Lilium martagon,L.,Lilium martagon,Lilium,Liliaceae,7.018,6.344,0.213,0.383
Limosella aquatica,L.,Limosella aquatica,Limosella,Plantaginaceae,0.632,0.276,0.074,0.06
Linaria alpina,(L.) Mill.,Linaria alpina,Linaria,Plantaginaceae,1.894,1.556,0.15,0.228
Linaria spartea,(L.) Willd.,Linaria spartea,Linaria,Plantaginaceae,2.504,2.082,0.381,0.087
Linaria vulgaris,Mill.,Linaria vulgaris,Linaria,Plantaginaceae,2.374,2.06,0.254,0.121
Linum alpinum,Jacq.,Linum alpinum,Linum,Linaceae,4.454,2.48,0.351,0.121
Linum austriacum,L.,Linum austriacum,Linum,Linaceae,3.21,2,0.18,0.18
Linum catharticum,L.,Linum catharticum,Linum,Linaceae,1.322,0.724,0.022,0.044
Linum perenne,L.,Linum perenne,Linum,Linaceae,3.572,2.04,0.074,0.055
Linum tenuifolium,L.,Linum tenuifolium,Linum,Linaceae,1.988,1.116,0.099,0.136
Linum usitatissimum,L.,Linum usitatissimum,Linum,Linaceae,3.28,1.934,0.116,0.06
Linum viscosum,L.,Linum viscosum,Linum,Linaceae,2.29,1.282,0.045,0.049
Buglossoides arvensis,(L.) I.M.Johnst.,Lithospermum arvense,Buglossoides,Boraginaceae,3.7,2.228,0.045,0.087
Lithospermum officinale,L.,Lithospermum officinale,Lithospermum,Boraginaceae,3.258,2.522,0.131,0.131
Buglossoides purpurocaerulea,(L.) I.M.Johnst.,Lithospermum purpurocaeruleum,Buglossoides,Boraginaceae,3.256,2.544,0.105,0.173
Lobelia dortmanna,L.,Lobelia dortmanna,Lobelia,Campanulaceae,0.74,0.38,0,0.055
Loiseleuria procumbens,(L.) Loisel.,Loiseleuria procumbens,Loiseleuria,Ericaceae,0.53,0.32,0,0
Lolium perenne,L.,Lolium perenne,Lolium,Poaceae,6.7,1.282,0.622,0.049
Lonicera caerulea,L.,Lonicera caerulea,Lonicera,Caprifoliaceae,2.46,1.956,0.055,0.06
Lotus corniculatus,L.,Lotus corniculatus,Lotus,Fabaceae,1.504,1.226,0.054,0.036
Lotus pedunculatus,Cav.,Lotus pedunculatus,Lotus,Fabaceae,1.074,0.906,0.088,0.06
Lunaria annua,L.,Lunaria annua,Lunaria,Brassicaceae,7.184,5.988,0.743,0.795
Lupinus polyphyllus,Lindl.,Lupinus polyphyllus,Lupinus,Fabaceae,4.874,3.404,0.264,0.06
Luronium natans,(L.) Raf.,Luronium natans,Luronium,Alismataceae,2.396,1.282,0.204,0.114
Luzula campestris,(L.) DC.,Luzula campestris,Luzula,Juncaceae,1.704,0.946,0.049,0.036
Luzula luzuloides,(Lam.) Dandy & Wilmott,Luzula luzuloides,Luzula,Juncaceae,1.414,0.714,0.074,0.022
Luzula multiflora,(Ehrh.) Lej.,Luzula multiflora,Luzula,Juncaceae,1.502,0.824,0.151,0.056
Luzula nivea,(Nathh.) DC.,Luzula nivea,Luzula,Juncaceae,1.198,0.712,0.148,0.166
Luzula sudetica,(Willd.) Schult.,Luzula sudetica,Luzula,Juncaceae,1.282,0.696,0.049,0.06
Luzula sylvatica,(Huds.) Gaudin,Luzula sylvatica,Luzula,Juncaceae,1.39,0.912,0.129,0.101
Silene flos-cuculi,(L.) Greuter & Burdet,Lychnis flos-cuculi,Silene,Caryophyllaceae,0.756,0.628,0.064,0.039
Anchusa arvensis,(L.) M.Bieb.,Lycopsis arvensis,Anchusa,Boraginaceae,3.844,2.482,0.143,0.093
Lysimachia nummularia,L.,Lysimachia nummularia,Lysimachia,Primulaceae,1.198,0.966,0.175,0.115
Lysimachia punctata,L.,Lysimachia punctata,Lysimachia,Primulaceae,1.144,1.114,0.573,0.094
Lysimachia thyrsiflora,L.,Lysimachia thyrsiflora,Lysimachia,Primulaceae,1.346,1.054,0.088,0.105
Lysimachia vulgaris,L.,Lysimachia vulgaris,Lysimachia,Primulaceae,1.726,1.242,0.094,0.138
Lythrum hyssopifolia,L.,Lythrum hyssopifolia,Lythrum,Lythraceae,0.906,0.652,0.06,0.049
Lythrum salicaria,L.,Lythrum salicaria,Lythrum,Lythraceae,0.98,0.454,0,0.036
Maianthemum bifolium,(L.) F.W.Schmidt,Maianthemum bifolium,Maianthemum,Asparagaceae,3.13,2.31,0.164,0.319
Malus pumila,Mill.,Malus pumila,Malus,Rosaceae,9.346,4.582,0.256,0.82
Malva alcea,L.,Malva alcea,Malva,Malvaceae,2.672,2.334,0.094,0.088
Marrubium vulgare,L.,Marrubium vulgare,Marrubium,Lamiaceae,2.228,1.242,0.087,0.135
Matricaria discoidea,DC.,Matricaria discoidea,Matricaria,Asteraceae,1.676,0.618,0.13,0.05
Tripleurospermum maritimum,(L.) W.D.J.Koch,Matricaria maritima,Tripleurospermum,Asteraceae,1.954,0.968,0.094,0.172
Tripleurospermum inodorum,(L.) Sch.Bip.,Matricaria perforata,Tripleurospermum,Asteraceae,2.102,1.01,0.074,0.121
Papaver cambricum,L.,Meconopsis cambrica,Papaver,Papaveraceae,0.764,0.452,0.036,0.067
Medicago falcata,L.,Medicago falcata,Medicago,Fabaceae,2.312,1.494,0.166,0.088
Medicago minima,(L.) L.,Medicago minima,Medicago,Fabaceae,1.8,0.832,0.173,0.106
Medicago rigidula,(L.) All.,Medicago rigidula,Medicago,Fabaceae,3.234,1.726,0.115,0.139
Melampyrum sylvaticum,Hook.,Melampyrum sylvaticum subsp. sylvaticum,Melampyrum,Orobanchaceae,5.294,1.894,0.06,0.105
Silene latifolia,Poir.,Melandrium album,Silene,Caryophyllaceae,1.296,1.068,0.053,0.073
Silene noctiflora,L.,Melandrium noctiflorum,Silene,Caryophyllaceae,1.372,1.152,0.075,0.04
Silene dioica,(L.) Clairv.,Melandrium sylvestre,Silene,Caryophyllaceae,1.288,1.088,0.034,0.067
Melica ciliata,L.,Melica ciliata,Melica,Poaceae,1.83,0.78,0.121,0.055
Melica nutans,L.,Melica nutans,Melica,Poaceae,2.564,1.43,0.537,0.158
Melica transsilvanica,Schur,Melica transsilvanica,Melica,Poaceae,2.1,0.778,0,0.093
Melilotus altissimus,Thuill.,Melilotus altissimus,Melilotus,Fabaceae,2.332,1.912,0.049,0.049
Melilotus officinalis,(L.) Pall.,Melilotus officinalis,Melilotus,Fabaceae,2.23,1.536,0.155,0.119
Mentha aquatica,L.,Mentha aquatica,Mentha,Lamiaceae,0.948,0.684,0.066,0.088
Mentha arvensis,L.,Mentha arvensis,Mentha,Lamiaceae,0.884,0.63,0.06,0
Mentha longifolia,(L.) L.,Mentha longifolia,Mentha,Lamiaceae,0.696,0.508,0.06,0.049
Mentha pulegium,L.,Mentha pulegium,Mentha,Lamiaceae,0.95,0.63,0,0
Mentha suaveolens,Ehrh.,Mentha suaveolens,Mentha,Lamiaceae,0.614,0.388,0.025,0.027
Milium effusum,L.,Milium effusum,Milium,Poaceae,2.84,0.91,0.08,0.07
Mimulus guttatus,DC.,Mimulus guttatus,Mimulus,Phrymaceae,0.53,0.32,0,0
Minuartia austriaca,(Jacq.) Hayek,Minuartia austriaca,Minuartia,Caryophyllaceae,1.326,1.136,0.06,0.135
Minuartia biflora,(L.) Schinz & Thell.,Minuartia biflora,Minuartia,Caryophyllaceae,0.74,0.63,0,0
Minuartia hybrida,(Vill.) Schischk.,Minuartia hybrida,Minuartia,Caryophyllaceae,0.42,0.42,0,0
Minuartia recurva,(All.) Schinz & Thell.,Minuartia recurva,Minuartia,Caryophyllaceae,1.03,0.8,0.045,0.055
Minuartia rupestris,(Scop.) Schinz & Thell.,Minuartia rupestris,Minuartia,Caryophyllaceae,1.264,1.01,0.105,0.055
Minuartia sedoides,(L.) Hiern,Minuartia sedoides,Minuartia,Caryophyllaceae,0.822,0.654,0.087,0.088
Minuartia setacea,(Thuill.) Hayek,Minuartia setacea,Minuartia,Caryophyllaceae,0.696,0.508,0.06,0.049
Minuartia verna,(L.) Hiern,Minuartia verna,Minuartia,Caryophyllaceae,0.57,0.486,0.055,0.06
Moehringia ciliata,(Scop.) Dalla Torre,Moehringia ciliata,Moehringia,Caryophyllaceae,1.388,1.114,0.087,0.094
Moehringia trinervia,(L.) Clairv.,Moehringia trinervia,Moehringia,Caryophyllaceae,0.956,0.862,0.045,0.095
Molinia caerulea,(L.) Moench,Molinia caerulea,Molinia,Poaceae,1.996,0.928,0.264,0.064
Monotropa hypopitys,L.,Monotropa hypopitys,Monotropa,Ericaceae,0.846,0.1,0.062,0
Montia fontana,L.,Montia fontana,Montia,Montiaceae,1.188,1.006,0.19,0.091
Muscari armeniacum,Leichtlin ex Baker,Muscari armeniacum,Muscari,Asparagaceae,2.052,1.768,0.251,0.09
